date,campaign_id,creative_id,impressions,clicks,conversions,spend,revenue,currency
2026-06-12,C007,K017,4058,27,1,115.66,32.24,USD
2026-07-26,C007,K017,2522,12,0,65.64,0.0,USD
2026-09-01,C002,K004,2093,76,4,103.89,486.19,USD
2026-08-01,C004,K010,16711,215,6,122.07,203.56,USD
2026-07-18,C002,K005,2244,118,7,147.37,505.24,USD
2026-06-28,C001,K003,1087,48,2,4686.71,19284.67,INR
2026-07-07,C004,K011,18016,239,6,120.99,273.23,USD
2026-08-27,C006,K015,30377,164,0,55.8,0.0,USD
2026-08-05,C013,K029,43204,284,3,79.33,87.23,USD
2026-06-28,C008,K020,21545,148,0,4209.82,0.0,INR
2026-07-18,C004,K010,19248,202,5,130.06,237.29,USD
2026-08-15,C002,K005,3284,120,6,146.28,415.07,USD
2026-08-07,C008,K020,30526,209,0,4548.26,0.0,INR
2026-07-22,C006,K015,30867,196,0,60.8,0.0,USD
2026-07-31,C001,K002,958,40,3,4029.98,9678.8,INR
2026-08-08,C012,K028,1203,52,2,5197.12,9542.24,INR
2026-07-05,C004,K009,10473,145,4,80.0,159.0,USD
2026-08-31,C014,K031,9200,93,3,3722.24,6893.49,INR
2026-06-13,C003,K007,9334,117,2,5080.71,13196.29,INR
2026-08-12,C002,K004,1942,73,3,84.12,327.39,USD
2026-07-07,C009,K021,6029,80,2,3647.44,5518.58,INR
2026-07-05,C007,K017,3236,17,1,73.57,46.54,USD
2026-07-22,C014,K031,5334,62,1,3263.78,4728.62,INR
2026-06-24,C003,K008,9869,113,3,5443.91,11034.2,INR
2026-08-29,C008,K019,20728,118,0,3249.51,0.0,INR
2026-09-04,C007,K017,5527,29,0,137.15,7.56,USD
2026-08-15,C006,K015,48861,238,0,63.64,0.0,USD
2026-07-08,C012,K027,709,31,2,3666.99,6461.12,INR
2026-08-21,C014,K032,4336,62,2,3097.1,8349.18,INR
2026-06-15,C001,K003,966,47,3,5122.43,14660.29,INR
2026-08-04,C005,K013,15420,183,4,8814.94,5900.33,INR
2026-06-27,C013,K029,40052,225,3,74.41,110.22,USD
2026-07-23,C001,K002,1006,38,2,3680.76,13688.4,INR
2026-06-15,C007,K017,4907,24,1,122.27,46.39,USD
2026-06-21,C004,K011,15146,202,5,104.6,151.12,USD
2026-09-03,C001,K001,874,42,3,4798.12,13772.24,INR
2026-06-17,C007,K017,4929,27,1,123.71,71.74,USD
2026-08-19,C002,K004,1487,77,3,100.79,363.77,USD
2026-07-30,C004,K011,20799,253,5,122.48,260.7,USD
2026-08-18,C002,K005,2770,109,4,144.92,686.05,USD
2026-06-08,C002,K005,3065,111,5,152.95,440.16,USD
2026-08-02,C005,K012,15428,163,5,8838.57,8072.91,INR
2026-07-25,C005,K014,14141,178,4,8322.46,9539.17,INR
2026-07-16,C007,K017,5886,29,1,140.18,85.85,USD
2026-07-13,C002,K006,2057,114,7,129.11,400.96,USD
2026-08-23,C005,K014,18259,196,5,9100.96,6959.62,INR
2026-08-03,C006,K016,47283,309,0,87.46,0.0,USD
2026-07-14,C003,K008,11526,130,3,5617.01,14467.49,INR
2026-08-23,C002,K006,2760,130,5,168.66,908.61,USD
2026-08-31,C003,K007,14223,151,3,6749.91,12164.93,INR
2026-07-16,C001,K003,1165,64,2,5663.26,22330.52,INR
2026-08-16,C001,K002,902,45,3,5329.72,17221.0,INR
2026-06-16,C007,K018,3352,25,1,121.4,48.98,USD
2026-06-28,C007,K017,2401,15,1,67.77,32.19,USD
2026-06-15,C011,K025,2129,13,0,51.85,0.0,USD
2026-06-17,C007,K018,3923,23,1,94.48,44.64,USD
2026-06-08,C012,K028,830,46,3,4292.21,6850.66,USD
2026-08-07,C014,K031,5616,73,2,3277.38,6837.78,INR
2026-08-25,C002,K005,2092,103,5,144.43,659.56,USD
2026-06-27,C009,K022,8329,90,2,4660.62,9808.09,INR
2026-06-18,C002,K006,2374,105,5,135.03,713.35,USD
2026-06-11,C002,K005,2434,129,9,140.43,643.19,USD
2026-06-17,C004,K011,18913,203,5,96.2,180.35,USD
2026-07-11,C006,K015,46593,234,0,75.1,0.0,USD
2026-07-30,C001,K001,799,41,2,4270.85,17212.19,INR
2026-07-15,C011,K025,2015,14,0,54.87,0.0,USD
2026-08-28,C005,K013,15342,201,5,8798.7,7937.68,INR
11/07/2026,C008,K020,34614,180,1,4687.5,1501.11,INR
2026-07-09,C009,K022,6817,90,2,4291.76,11387.67,INR
2026-08-01,C011,K026,914,5,0,25.78,0.0,USD
2026-06-24,C007,K018,3523,23,0,112.11,0.0,USD
2026-07-25,C009,K022,7840,114,3,5814.2,8932.0,INR
2026-08-18,C004,K009,11950,125,4,79.99,129.02,USD
2026-08-14,C007,K018,3563,23,1,102.39,58.37,USD
2026-08-03,C005,K012,20535,208,4,8483.03,10660.79,INR
2026-07-28,C003,K008,6903,90,1,4608.3,9135.35,INR
2026-07-09,C001,K003,1215,56,3,5165.34,14158.2,INR
2026-06-20,C007,K017,2663,14,0,56.43,0.0,USD
2026-08-12,C005,K012,21032,227,4,9644.86,,INR
2026-07-21,C004,K011,11984,179,5,114.97,136.85,USD
2026-06-30,C014,K031,5423,55,1,2851.94,7318.82,INR
2026-08-21,C002,K004,1777,82,4,103.76,478.83,USD
2026-06-15,C002,K005,2560,105,4,116.43,465.66,USD
2026-08-06,C002,K006,2181,120,7,159.29,379.06,USD
2026-07-14,C007,K017,6870,37,1,153.79,96.64,USD
2026-07-02,C003,K008,8893,105,3,5596.0,9819.8,INR
11/07/2026,C014,K031,6992,79,1,3104.59,5272.42,INR
2026-08-24,C002,K004,1600,75,3,86.48,284.66,USD
2026-06-17,C002,K006,2094,94,5,119.41,452.57,USD
2026-07-26,C013,K030,62921,393,4,111.81,131.43,USD
2026-08-29,C005,K014,10633,159,3,7131.92,9092.79,INR
2026-08-11,C001,K001,711,38,2,4157.84,10602.18,INR
2026-07-15,C014,K031,5551,59,1,3155.87,9515.82,INR
2026-08-20,C005,K013,14977,166,4,8655.76,8053.83,INR
2026-06-23,C003,K008,6732,98,2,5047.84,17371.03,INR
2026-08-22,C012,K028,705,39,2,3947.66,7933.13,INR
2026-08-20,C004,K010,14868,194,4,123.48,165.38,USD
2026-06-10,C003,K007,10893,115,3,5241.87,9174.78,INR
2026-06-22,C004,K010,12785,189,5,107.78,123.13,USD
2026-07-07,C008,K020,34144,168,1,4043.02,863.54,INR
2026-07-21,C011,K025,2004,14,0,58.67,0.0,USD
2026-06-15,C008,K019,18027,131,0,3089.54,0.0,INR
2026-08-27,C001,K003,1703,72,5,6137.19,22623.27,INR
2026-07-03,C002,K005,1992,98,6,128.24,592.39,USD
2026-08-28,C006,K015,41710,218,0,70.45,0.0,USD
2026-08-23,C003,K008,11441,112,2,5415.05,16650.91,INR
2026-08-20,C007,K018,4623,24,1,125.63,74.57,USD
2026-06-10,C003,K008,9468,117,3,4706.91,16320.75,INR
2026-06-28,C002,K004,1151,55,3,76.99,185.54,USD
2026-08-21,C005,K014,12490,135,2,6834.0,5428.27,INR
2026-07-30,C003,K008,8257,123,3,5956.11,10062.92,INR
2026-07-26,C004,K011,12827,190,5,103.4,217.92,USD
2026-08-06,C013,K030,61055,365,4,118.6,92.71,USD
2026-08-11,C011,K025,3459,17,0,69.42,0.0,USD
2026-08-07,C002,K004,1849,96,6,101.98,498.38,USD
2026-08-22,C014,K031,7055,90,2,3785.02,7922.9,INR
2026-07-06,C014,K031,5795,59,2,2646.85,5158.0,INR
2026-07-28,C014,K032,6264,70,2,3668.67,7942.5,INR
2026-08-20,C003,K008,9651,116,3,4848.05,11609.89,INR
2026-08-09,C013,K030,47335,335,3,102.68,65.06,USD
2026-07-01,C008,K020,17116,119,0,3330.02,0.0,INR
2026-07-12,C014,K032,4577,64,1,3413.55,6715.52,INR
2026-09-03,C014,K032,5958,85,2,3857.72,8193.54,INR
2026-08-25,C003,K008,9295,94,2,4671.61,8815.99,INR
2026-08-13,C006,K016,41133,302,0,85.16,0.0,USD
2026-06-16,C002,K006,2157,103,4,140.93,574.85,USD
2026-09-02,C010,K023,314,13,1,16.88,8.48,USD
2026-07-06,C006,K015,29340,182,0,51.16,0.0,USD
2026-06-12,C008,K019,19660,129,0,3246.12,0.0,INR
2026-07-16,C014,K032,6343,75,2,3550.61,7512.2,INR
2026-06-09,C012,K028,879,40,2,4311.22,7104.48,USD
2026-07-26,C005,K014,17845,180,3,9351.46,7434.22,INR
2026-07-01,C006,K015,21455,152,0,51.41,0.0,USD
2026-08-28,C010,K023,361,14,1,16.99,11.3,USD
2026-09-03,C013,K030,60943,338,4,102.7,132.95,USD
2026-07-06,C011,K025,1823,12,0,62.44,0.23,USD
2026-06-24,C007,K017,4699,31,1,148.0,67.86,USD
2026-08-04,C004,K011,23410,255,6,134.24,280.16,USD
2026-06-19,C012,K027,761,40,3,3917.79,4599.29,INR
2026-06-29,C012,K028,1099,45,3,4080.0,7178.31,INR
2026-07-07,C009,K022,11395,118,3,5062.55,8114.85,INR
2026-06-22,C004,K011,17287,208,4,104.49,168.58,USD
2026-06-29,C004,K010,22122,271,4,136.82,269.21,USD
2026-08-05,C003,K008,6967,97,2,5154.85,15837.03,INR
2026-07-23,C003,K007,10013,144,3,6519.85,14107.23,INR
2026-08-16,C005,K013,14155,152,3,7850.99,5529.75,INR
2026-08-04,C013,K029,63998,308,2,82.64,103.91,USD
2026-08-02,C001,K001,1099,54,3,5441.97,12836.4,INR
2026-07-25,C013,K029,44014,249,2,85.04,120.99,USD
2026-07-04,C004,K011,17221,244,5,125.47,161.35,USD
2026-06-24,C011,K025,1710,13,0,54.66,0.0,USD
2026-08-12,C012,K028,802,38,2,4223.41,5226.84,INR
2026-07-01,C001,K002,649,30,1,3421.43,14721.58,INR
2026-07-11,C013,K030,48988,343,4,94.18,80.93,USD
2026-07-24,C002,K006,2351,107,5,130.3,310.67,USD
2026-08-23,C012,K028,762,42,2,4286.65,7937.67,INR
2026-08-26,C014,K032,9296,100,2,3969.91,8404.92,INR
2026-08-06,C005,K013,11249,138,4,7558.31,5319.28,INR
2026-07-02,C013,K030,56759,335,3,100.07,93.58,USD
2026-08-22,C002,K006,3938,149,9,175.75,874.51,USD
2026-07-24,C001,K002,702,38,2,3902.35,16970.65,INR
2026-06-19,C002,K006,2659,123,5,135.01,347.6,USD
2026-08-13,C002,K004,1638,71,4,87.42,265.08,USD
2026-08-23,C006,K016,55383,279,0,93.34,0.0,USD
2026-08-10,C012,K027,907,38,2,3723.07,3638.49,INR
2026-08-16,C001,K003,1159,64,4,6146.44,13751.91,INR
2026-08-08,C006,K015,36189,182,0,60.89,0.0,USD
2026-08-30,C005,K014,15218,152,3,7442.27,8730.59,INR
2026-07-21,C004,K010,20039,195,6,123.87,252.25,USD
2026-08-14,C005,K012,18599,180,3,7454.52,7537.29,INR
2026-08-20,C002,K006,2319,90,4,121.13,,USD
2026-07-29,C004,K010,26157,263,6,134.08,165.95,USD
2026-08-23,C004,K010,16955,231,5,139.48,254.8,USD
2026-07-13,C006,K015,25090,188,0,62.38,0.0,USD
2026-06-30,C011,K026,1651,12,0,61.28,0.0,USD
2026-07-24,C005,K012,14441,160,4,8627.74,6147.98,INR
2026-08-28,C004,K009,9361,133,3,85.75,162.19,USD
2026-06-25,C009,K021,5802,86,2,4399.12,10951.37,INR
2026-07-28,C006,K016,45190,272,0,71.91,0.0,USD
2026-08-02,C008,K019,27373,140,0,3707.97,0.0,INR
2026-08-01,C014,K031,4808,68,2,3399.18,7745.4,INR
2026-06-08,C004,K010,18222,200,4,109.83,246.08,USD
2026-07-31,C003,K008,7780,105,3,4794.01,16555.13,INR
2026-06-14,C009,K022,7683,103,2,5576.99,13279.25,INR
2026-06-16,C012,K028,961,35,2,3454.27,5626.2,INR
2026-06-10,C002,K004,1182,65,4,74.19,248.98,USD
2026-08-15,C004,K010,18040,227,5,132.35,247.24,USD
2026-08-11,C003,K008,12052,117,2,4876.53,13533.17,INR
2026-07-09,C004,K010,16418,192,6,109.35,190.21,USD
2026-08-14,C003,K008,10190,127,2,5532.72,18927.19,INR
2026-08-27,C006,K016,51795,299,0,80.96,0.0,USD
2026-07-18,C009,K021,6225,79,2,3998.87,8390.71,INR
2026-08-30,C014,K032,7281,85,1,4407.44,9850.12,INR
2026-08-05,C002,K005,1914,107,4,132.51,632.45,USD
2026-06-14,C003,K008,9165,121,3,5015.02,14187.61,INR
2026-08-20,C005,K012,14834,219,6,8630.74,8512.84,INR
2026-06-15,C004,K011,14448,147,3,95.2,115.23,USD
2026-08-13,C013,K029,36634,267,3,70.96,94.38,USD
2026-06-30,C007,K018,3928,25,1,100.64,42.6,USD
2026-07-25,C007,K017,2892,16,0,77.5,0.0,USD
2026-07-17,C007,K018,4178,30,1,134.72,56.06,USD
2026-06-19,C004,K009,12766,158,3,77.12,155.27,USD
2026-07-27,C014,K031,5545,67,2,3442.3,10421.25,INR
2026-08-24,C014,K031,6632,69,2,2796.84,7319.5,INR
2026-07-06,C005,K014,11785,133,2,6527.34,7397.51,INR
2026-08-23,C012,K027,911,43,3,4599.48,7397.91,INR
2026-09-03,C006,K015,28615,186,0,56.79,0.0,USD
2026-07-25,C003,K007,13262,146,4,7405.63,12424.79,INR
2026-06-19,C002,K005,2408,112,5,136.2,665.02,USD
2026-07-13,C003,K007,10134,105,3,5156.75,16032.62,INR
2026-08-05,C012,K028,918,34,1,3597.86,6923.73,INR
2026-08-26,C012,K027,1098,50,2,4775.76,5706.68,INR
2026-08-03,C004,K009,12792,123,2,73.69,145.58,USD
2026-07-21,C014,K031,3727,54,1,2724.15,8056.87,INR
2026-08-19,C008,K020,23904,134,1,3264.58,752.18,INR
2026-07-17,C011,K025,2753,15,0,64.31,,USD
2026-07-18,C011,K025,1210,7,0,28.16,0.0,USD
2026-07-06,C009,K022,8626,116,3,5505.0,14104.55,INR
2026-07-12,C003,K007,9483,121,2,6439.18,22085.27,INR
2026-07-17,C006,K015,47845,250,0,70.19,0.0,USD
2026-08-19,C005,K012,11606,154,4,7256.13,7421.13,INR
2026-07-07,C013,K029,27408,202,2,67.92,98.74,USD
2026-07-22,C014,K032,6253,66,1,3156.44,4286.23,INR
2026-07-24,C001,K001,871,41,3,4492.09,20320.24,INR
2026-07-06,C003,K007,9029,119,3,6502.99,21932.62,INR
2026-08-22,C013,K030,43355,304,3,96.97,129.44,USD
2026-07-22,C003,K007,11508,11537,2,6206.7,9745.85,INR
2026-07-06,C007,K018,5680,33,1,128.73,35.31,USD
2026-07-07,C002,K005,2733,118,5,129.99,614.45,USD
2026-08-17,C014,K031,4327,60,2,2743.38,8051.26,INR
2026-07-04,C005,K014,18291,179,3,7230.47,10128.77,INR
2026-08-16,C007,K017,2588,16,0,68.51,0.0,USD
2026-08-23,C014,K032,6421,72,2,3503.5,6338.21,INR
2026-08-10,C001,K002,882,44,3,4639.23,19798.29,INR
2026-07-15,C007,K018,3784,21,1,101.65,38.84,USD
2026-06-29,C004,K009,14553,173,4,83.79,98.69,USD
2026-07-11,C013,K029,60512,356,4,101.14,72.12,USD
2026-06-19,C003,K008,7685,97,2,4640.5,11951.81,INR
2026-07-28,C014,K031,4922,61,1,2786.98,3583.74,INR
2026-06-30,C001,K001,936,47,3,4685.79,15880.05,INR
2026-09-01,C001,K002,972,44,3,4840.81,20210.38,INR
2026-06-19,C008,K020,18794,129,0,3507.21,0.0,INR
2026-07-15,C005,K013,11926,177,5,6929.43,8316.74,INR
2026-07-13,C099,K010,13445,188,5,119.79,215.59,USD
2026-08-15,C002,K006,2894,105,7,143.82,629.42,USD
2026-08-10,C004,K011,13785,177,5,114.14,,USD
2026-08-26,C010,K024,333,15,1,16.17,9.52,USD
2026-07-13,C014,K032,7269,77,2,3866.95,5032.64,INR
2026-08-17,C005,K012,12868,163,4,8354.28,12982.2,INR
2026-07-13,C001,K001,1025,44,3,4305.82,13031.89,INR
2026-09-01,C014,K032,8879,91,2,3984.13,9625.14,INR
2026-06-16,C001,K003,1192,48,2,5382.57,16704.41,INR
2026-07-27,C004,K011,20788,223,5,110.32,167.82,USD
2026-06-14,C012,K027,1129,50,3,4606.81,7676.17,INR
2026-07-31,C003,K007,12700,127,3,5460.6,18562.25,INR
2026-08-04,C002,K004,1726,71,3,90.49,233.45,USD
2026-07-04,C008,K019,21568,155,0,3407.23,0.0,INR
2026-07-12,C005,K012,15268,154,3,7907.74,7920.87,INR
2026-07-18,C005,K012,16869,183,4,7940.62,6049.88,INR
2026-07-02,C013,K029,35483,235,2,78.3,65.79,USD
2026-08-17,C008,K020,24052,158,1,3599.6,806.52,INR
2026-08-04,C008,K020,22203,163,0,4104.0,0.0,INR
2026-08-24,C004,K011,18185,177,4,102.31,131.51,USD
2026-06-22,C008,K020,25391,148,0,3618.06,0.0,INR
2026-09-03,C005,K014,15870,182,4,7669.67,,INR
2026-08-19,C002,K005,3214,140,7,166.11,897.72,USD
2026-08-23,C005,K012,19731,205,5,7980.9,10476.08,INR
2026-06-10,C004,K010,18032,243,4,128.92,272.88,USD
2026-08-03,C004,K010,17977,215,4,111.91,187.72,USD
2026-07-23,C008,K019,20942,153,0,3832.18,0.0,INR
2026-07-29,C012,K028,1125,47,2,4350.77,8341.47,INR
2026-08-22,C002,K004,1257,70,3,84.1,279.08,USD
2026-06-28,C007,K018,1747,13,0,60.96,0.0,USD
2026-06-28,C011,K025,1185,7,0,33.68,0.0,USD
2026-09-03,C001,K003,1147,50,2,4955.05,18725.9,INR
2026-08-15,C001,K002,992,49,3,5012.2,10209.1,INR
2026-08-11,C002,K004,1418,59,2,76.87,248.57,USD
2026-08-10,C003,K007,12087,127,4,6918.08,16121.03,INR
2026-07-30,C011,K025,1748,12,0,56.78,0.0,USD
2026-08-27,C014,K031,5736,66,2,2938.38,6104.04,INR
2026-06-29,C007,K017,5366,32,1,125.65,40.73,USD
2026-07-29,C003,K008,8877,126,3,5676.3,18433.4,INR
2026-08-22,C005,K012,18291,189,3,9744.17,9981.72,INR
2026-08-20,C013,K029,33148,240,3,78.46,65.53,USD
2026-09-03,C013,K029,37877,244,2,75.76,86.67,USD
2026-07-18,C005,K014,13104,145,4,7399.09,9070.65,INR
2026-07-01,C009,K022,8887,107,2,4985.44,8817.86,INR
2026-07-26,C012,K028,1689,62,3,5338.28,5870.65,INR
2026-07-27,C005,K012,11967,170,4,7093.67,10287.37,INR
2026-06-12,C009,K021,8235,99,2,4352.17,10081.79,INR
2026-06-20,C007,K018,2161,12,0,56.3,8.64,USD
2026-07-25,C013,K030,39431,274,3,90.42,60.72,USD
2026-07-30,C014,K031,7078,72,2,2968.88,7649.18,INR
2026-08-28,C002,K005,1898,98,4,129.96,336.66,USD
2026-06-29,C013,K030,66004,359,3,107.24,147.87,USD
2026-07-17,C011,K026,2090,15,0,58.16,0.0,USD
2026-07-11,C004,K010,14867,190,5,123.13,259.21,USD
2026-06-17,C004,K010,14155,198,5,120.62,201.07,USD
2026-08-31,C002,K004,1264,68,4,87.79,455.98,USD
2026-08-27,C004,K010,25563,296,8,149.63,270.02,USD
2026-08-08,C012,K027,1174,51,2,5276.23,6542.62,INR
2026-08-07,C006,K016,31933,224,0,77.34,0.0,USD
2026-07-13,C007,K018,4576,27,1,128.83,70.81,USD
2026-07-10,C001,K001,859,38,2,3637.41,8168.79,INR
2026-08-03,C011,K026,2840,16,0,67.12,0.0,USD
2026-07-30,C002,K006,1532,85,5,114.5,478.72,USD
2026-07-16,C005,K012,14113,192,4,7917.71,11767.98,INR
2026-08-08,C006,K016,38847,279,0,80.91,0.0,USD
2026-08-28,C002,K006,2602,104,7,143.21,551.8,USD
2026-07-04,C008,K020,24222,142,0,3389.08,0.0,INR
2026-07-10,C012,K027,1338,48,2,4530.48,5894.51,INR
2026-06-13,C004,K009,11079,148,4,70.54,77.02,USD
2026-08-04,C012,K028,801,42,2,3766.87,3653.49,INR
2026-07-14,C011,K025,2135,15,0,63.87,0.0,USD
2026-07-09,C005,K013,12810,170,5,8001.27,10949.03,INR
2026-08-16,C002,K005,2558,144,9,159.09,496.91,USD
2026-08-11,C002,K006,2357,95,6,130.16,692.38,USD
2026-07-26,C005,K012,14934,205,5,8263.39,,INR
2026-07-04,C013,K030,66411,326,4,89.64,70.12,USD
2026-06-27,C012,K027,762,43,2,4490.93,6337.05,INR
2026-07-23,C005,K014,10033,149,4,7368.92,9484.92,INR
2026-08-09,C005,K013,13855,174,4,52053.04,17012.828,INR
2026-08-28,C012,K027,889,35,1,3802.7,3441.01,INR
2026-07-21,C013,K030,43090,273,3,83.01,97.34,USD
2026-06-22,C001,K003,1175,51,3,5567.55,20321.02,INR
2026-07-31,C002,K005,2486,108,5,133.86,736.03,USD
2026-07-02,C014,K032,4522,63,2,3218.93,4107.35,INR
2026-08-23,C011,K026,1284,7,0,30.94,0.0,USD
2026-08-17,C001,K002,1266,49,2,4159.94,17602.46,INR
2026-08-02,C013,K029,62066,330,3,87.63,131.64,USD
2026-07-04,C001,K001,1200,47,2,5118.15,11438.46,INR
2026-08-01,C001,K001,1286,62,2,5509.71,20491.89,INR
2026-09-02,C002,K004,1374,64,3,89.04,483.7,USD
2026-07-28,C012,K027,675,36,2,4232.54,5487.95,INR
2026-07-06,C006,K016,27608,197,0,68.54,0.0,USD
2026-07-25,C001,K001,1138,44,3,4611.59,18227.37,INR
2026-08-02,C006,K016,38821,259,0,74.33,0.0,USD
2026-08-04,C003,K007,11347,110,2,5708.14,17912.8,INR
2026-08-21,C005,K012,11766,150,4,8005.35,7538.96,INR
2026-06-26,C004,K011,16519,197,4,97.91,185.1,USD
2026-07-08,C005,K014,12999,161,4,7130.64,9329.33,INR
2026-09-04,C012,K027,774,42,0,4341.58,719.49,INR
2026-08-18,C011,K025,2050,13,0,63.0,0.43,USD
2026-09-02,C006,K016,37375,217,0,69.42,0.0,USD
2026-08-06,C012,K027,719,37,2,3617.58,4936.37,INR
2026-07-10,C006,K015,40200,220,0,65.45,0.0,USD
2026-08-28,C014,K031,8081,85,1,3626.86,8842.79,INR
2026-08-25,C014,K032,5689,80,1,3676.94,6021.13,INR
2026-06-18,C007,K018,3056,22,1,92.55,49.84,USD
2026-07-01,C002,K005,2898,150,10,156.21,643.9,USD
2026-09-04,C011,K026,2536,15,0,66.48,0.0,USD
2026-08-19,C004,K009,10892,150,4,79.59,82.9,USD
